,text,cleaned,polarity,subjectivity,sentiment,neg,neu,pos,compound,text_len,text_word_count
282,"The Musk vs Apple feud might just be the precursor for a much needed change in the Smartphone game.
Apple has been overcharging for mid phones ever since they took down Nokia.
#Apple #ELONMUSK #TeslaPhone",musk vs apple feud might precursor much needed change smartphone game apple overcharging mid phones ever since took nokia apple elonmusk teslaphone,-0.06666666666666667,0.20000000000000004,negative,0.103,0.897,0.0,-0.34,147,22
283,So much for small government and deregulation of the free market. Republicans are a bunch of whiny hypocrites. #Republicans #RepublicansAreDestroyingAmerica #RepublicansAreTheProblem #Apple #Twitter #ELONMUSK #ElonIsDestroyingTwitter @Jim_Jordan https://t.co/hLRgSvBKYL,much small government deregulation free market republicans bunch whiny hypocrites republicans republicansaredestroyingamerica republicansaretheproblem apple twitter elonmusk elonisdestroyingtwitter jordan,0.07500000000000001,0.6000000000000001,positive,0.0,0.837,0.163,0.5106,204,18
284,"On Tuesday, #RonDesantis criticized #Apple for allegedly threatening to remove #Twitter from its App store while preventing Chinese protesters from using its #Airdrop feature. 
 https://t.co/Vcwmm02yqk",tuesday rondesantis criticized apple allegedly threatening remove twitter app store preventing chinese protesters using airdrop feature,-0.05,0.05,negative,0.426,0.574,0.0,-0.7845,135,16
285,"Has Paypal and Apple deplatformed SBF yet?

#paypal #apple #elonmusk #thursdaymorning",paypal apple deplatformed sbf yet paypal apple elonmusk thursdaymorning,0.0,0.0,neutral,0.0,1.0,0.0,0.0,71,9
286,What he said!!! @elonmusk @PapiTrumpo @monala58 #apple #appleshares #maga #TheWeeknd #god #godwon #awakening https://t.co/Gvo68OgudI,said apple appleshares maga theweeknd god godwon awakening,0.0,0.0,positive,0.0,0.769,0.231,0.2732,58,8
287,"Hymns of the United Methodist Hymnal XL67WYJ

https://t.co/7Jzt5YSjCt

#services #cloud #saga #spa #westsussex #apple #club #bra #spiralnotebook #unisex #police #cyber #heating #pollution #cnn https://t.co/Dew9nTt40u",hymns united methodist hymnal xl67wyj services cloud saga spa westsussex apple club bra spiralnotebook unisex police cyber heating pollution cnn,0.0,0.0,positive,0.0,0.872,0.128,0.4215,144,20
288,"Warm up with these #free #steamy #romancebooks
https://t.co/AjjK931Nuz

#bookdeals #ian1 #bookboost #ASMSG #amazon #kindle #apple #nook #kobo #IARTG #fantasyromance #PNR #readingcommunity #romanticfantasy #shifter #fae #demons #reverseharem #magic #dragons #fatedmates #vampire https://t.co/xcZPgbfI5z",warm free steamy romancebooks bookdeals ian1 bookboost asmsg amazon kindle apple nook kobo iartg fantasyromance pnr readingcommunity romanticfantasy shifter fae demons reverseharem magic dragons fatedmates vampire,0.5,0.7999999999999999,positive,0.0,0.769,0.231,0.7096,213,26
289,"#TheNewTwitter #TimCook #ElonMusk
#Apple #AppStore #FreeSpeech #misinformation
#BigTech #MSM #justinflation #BFFs 
TIM COOK AND ELON MUSK HAVE MADE UP !
APPLE WILL NOT BE REMOVING THE TWITTER APP https://t.co/zXHCITlMN5",thenewtwitter timcook elonmusk apple appstore freespeech misinformation bigtech msm justinflation bffs tim cook elon musk made apple not removing twitter app,0.0,0.0,negative,0.103,0.897,0.0,-0.3182,157,21
290,"🔊Highly Cited Paper of #Insects 
""Enzymatic Defense Response of #Apple #Aphid Aphis pomi to Increased Temperature"" 

👥 By Jan Dampc et al.

Read at 👉https://t.co/9HhauS76Rh https://t.co/OraQz2nIOV",highly cited paper insects enzymatic defense response apple aphid aphis pomi increased temperature jan dampc et al read,0.16,0.5399999999999999,positive,0.0,0.816,0.184,0.3818,119,18
291,#Apple Store with barely any security in #California. What's the worst that can happen﹖ 🃏 https://t.co/6mc6q86scI,apple store barely security california worst happen,-0.475,0.55,negative,0.351,0.457,0.193,-0.4077,51,7
292,"@neesietweets Also White House: 
""We're keeping an eye on Twitter"" 
🤦‍♂️ 

#Apple #ThinkDifferent #ThinkCCP https://t.co/PYFFIOwm5X",also white house keeping eye twitter apple thinkdifferent thinkccp,0.0,0.0,neutral,0.0,1.0,0.0,0.0,66,9
293,"Traeger BBQ Wood Pellets
100% natural hardwood for cooking  authentic low &amp;  slow smoked taste meals in  flavors of hickory, maple, and cherry hardwoods

Shop our range on https://t.co/lFDoNzYT2l 

#Traeger #Pellets #Hickory #Apple #Signature #Cherry #Pecan #Mesquite https://t.co/DsdA7VM5Vs",traeger bbq wood pellets 100 natural hardwood cooking authentic low amp slow smoked taste meals flavors hickory maple cherry hardwoods shop range traeger pellets hickory apple signature cherry pecan mesquite,0.07499999999999998,0.46249999999999997,positive,0.064,0.859,0.077,0.1027,207,30
294,"#laptops , #smartphones , #computers , series A and B #tablets with a clear difference in prices, from windows to #Apple .",laptops smartphones computers series tablets clear difference prices windows apple,0.10000000000000002,0.3833333333333333,positive,0.0,0.776,0.224,0.3818,82,10
295,"Check out this article about #ELONMUSK visiting #Apple headquarters just days after musk blasted @apple on #twitter. Read the article now on @Medium!

https://t.co/2iMmnEZwQL",check article elonmusk visiting apple headquarters days musk blasted twitter read article,-0.6,0.9,neutral,0.0,1.0,0.0,0.0,89,12
296,"I bought AirPods Pro last year. It’s creating noise when I wear them and walk, when wearing then if I try to fit them it makes noise. Noise is like old radio. I don’t understand what’s the use of buying such costly products when it doesn’t even sustain for 2 years. #Apple @Apple",bought airpods pro last year creating noise wear walk wearing try fit makes noise noise like old radio don understand use buying costly products doesn even sustain 2 years apple,0.16666666666666666,0.22222222222222224,positive,0.042,0.744,0.214,0.7003,177,30
297,"That took a while 🎸

46, 37, -28-, 19.

Confirmed via follow-up LinkedIn code, see the code with the first numbers from the above #Apple series only. Both yellow.

Still in House XII.

#ZickZack #T #Adieu #Sonne #cage #Anubis https://t.co/OdeM5Wn32m",took 46 37 28 19 confirmed via follow linkedin code see code first numbers apple series yellow still house xii zickzack adieu sonne cage anubis,0.21666666666666667,0.4444444444444444,neutral,0.0,1.0,0.0,0.0,143,25
298,Google appeals huge Android antitrust fine to EU's top court #Google #Android #Apple #Europe #EuropeanUnion #EuropeanCommission #GoogleShopping #Internet #EUAntitrustPenalty  https://t.co/6erKslX41r,google appeals huge android antitrust fine eu top court google android apple europe europeanunion europeancommission googleshopping internet euantitrustpenalty,0.43888888888888894,0.6333333333333333,positive,0.0,0.718,0.282,0.5994,159,18
299,"""Happy #NationalEatARedAppleDay!""🍎
Photo By: Joseph Hill🙂📸🍎

#Apple🍎 #fruit #healthy #sweet #delicious #yummy https://t.co/4vxAjXrPUe",happy nationaleataredappleday photo joseph hill apple fruit healthy sweet delicious yummy,0.6625,0.7875,positive,0.0,0.267,0.733,0.9477,89,11
300,Google appeals huge Android antitrust fine to EU's top court #Google #Android #Apple #Europe #EuropeanUnion #EuropeanCommission #GoogleShopping #Internet #EUAntitrustPenalty  https://t.co/r3CQt9aoGB,google appeals huge android antitrust fine eu top court google android apple europe europeanunion europeancommission googleshopping internet euantitrustpenalty,0.43888888888888894,0.6333333333333333,positive,0.0,0.718,0.282,0.5994,159,18
301,"On Dec 1st, reminding everyone to take time to eat an apple 🍎

Especially for the people who do not like it to know it is important ✨ 

Eat a Red 🍎🍎 Apple 🍎🍎 Day 

#appleday #redappleday #Entrepreneurs #motivation #founders #apple https://t.co/nCqmCsgkyc",dec 1st reminding everyone take time eat apple especially people not like know important eat red apple day appleday redappleday entrepreneurs motivation founders apple,0.13333333333333333,0.6666666666666666,negative,0.145,0.767,0.088,-0.1445,167,24
302,"Tucker Carlson: #Apple Now “An Active Collaborator With #China’s Murderous Police State”...Apple will do ANYTHING to maintain that slave labor to make the #iPhone!

https://t.co/2mZCTPxB5u #AppleSlaveLabor #CCPChina #ccpshills #ChinaProtests #ChinaUprising #ChinaProtest2022",tucker carlson apple active collaborator china murderous police state apple anything maintain slave labor make iphone appleslavelabor ccpchina ccpshills chinaprotests chinauprising chinaprotest2022,-0.13333333333333333,0.6,negative,0.156,0.743,0.1,-0.3612,197,22
303,@elonmusk please seriously consider creating an alternative phone so people with an active conscience have a way to function without being beholden to the godless CCP! #apple #fightforhumanity,please seriously consider creating alternative phone people active conscience way function without beholden godless ccp apple fightforhumanity,-0.23333333333333334,0.6333333333333333,positive,0.078,0.594,0.329,0.6705,142,17
304,Pure Genius #apple #china #sweatshops https://t.co/neVDLwS1O9,pure genius apple china sweatshops,0.21428571428571427,0.5,neutral,0.0,1.0,0.0,0.0,34,5
